interval,Total_FUNDING_BED,Total_OCCUPIED_BED,Total_ACTUAL_BED,Total_FUNDING_ROOM,Total_OCCUPIED_ROOM,Total_ACTUAL_ROOM
2021-01 to 2021-04,356927,296795,313782,77195,300629,317554
2021-05 to 2021-08,377978,317461,342501,377536,328919,352168
2021-09 to 2021-12,390758,350595,368405,391338,349304,360145
2022-01 to 2022-04,398254,369894,379428,409225,379972,389417
2022-05 to 2022-08,372572,359265,365165,434548,409150,414473
2022-09 to 2022-12,397812,378283,383740,428670,404337,407429
2023-01 to 2023-04,467209,450022,455833,394149,368891,372640
2023-05 to 2023-08,483008,465514,469847,385594,359244,361268
2023-09 to 2023-12,541851,523601,530114,353849,339485,340604
2024-01 to 2024-04,590743,575007,580758,352355,339212,340347
2024-05 to 2024-08,539995,526142,529169,359297,355670,356859
