LOCATION_ADDRESS,Latitude,Longitude,YEAR
"100 Lippincott St, Toronto, ON, M5S 2P1",43.6576786,-79.40705609999999,2021
"101 Ontario St, Toronto, ON, M5A 2V2",43.6545597,-79.3665735,2021
"101 Placer Ct, Toronto, ON, M2H 3H9",43.8020246,-79.341403,2021
"1059 College Street, Toronto, ON, M6H 1B1",43.652684,-79.4308073,2021
"107 Jarvis St, Toronto, ON, M5C 2H4",43.6523669,-79.3722725,2021
"1076 Pape Ave, Toronto, ON, M4K 3W5",43.6909102,-79.34966279999999,2021
"1161 Caledonia Rd, Toronto, ON, M6A 2W9",43.7156521,-79.4666149,2021
"1229 Ellesmere Rd, Toronto, ON, M1P 4V8",43.76828219999999,-79.2674466,2021
"126 Pape Ave, Toronto, ON, M4M 2V8",43.66282229999999,-79.33854560000002,2021
"129 Peter St, Toronto, ON, M5V 2H3",43.6487063,-79.3931334,2021
"135 Sherbourne St, Toronto, ON, M5A 2R5",43.65529189999999,-79.3690019,2021
"14 Roncesvalles Ave, Toronto, ON, M6R 2K3",43.6391128,-79.4465075,2021
"14 Vaughan Rd, Toronto, ON, M6G 2N1",43.681428,-79.4183468,2021
"165 Grange Ave, Toronto, ON, M5T 2V5",43.6509088,-79.4013362,2021
"1651 Sheppard Ave W, Toronto, ON, M3M 2X4",43.74063719999999,-79.49416029999999,2021
"1677 Wilson Ave, North York, ON, M3L 1A5",43.718533,-79.5145757,2021
"1684 Queen St E, Toronto, ON, M4L 1G6",43.6673724,-79.3135118,2021
"185 Yorkland Blvd, North York, ON, M2J 4R2",43.771263,-79.335442,2021
"189B Booth Ave, Toronto, ON, M4M 2M5",43.6600165,-79.3429848,2021
"191 Spadina Rd, Toronto, ON, M5R 2T9",43.6736075,-79.4063139,2021
"195 Princes' Blvd, Toronto, ON, M6K 3C3",43.6316671,-79.42069479999999,2021
"1A Strachan Ave, Toronto, ON, M6K 3C3",43.6354622,-79.408818,2021
"20 Gerrard St E, Toronto, ON, M5B 2P3",43.65934559999999,-79.3814705,2021
"20 Milner Business Ct, Scarborough, ON, M1B 3M6",43.7878795,-79.2356389,2021
"2035 Kennedy Rd, Scarborough, ON, M1T 3G2",43.7769564,-79.2829241,2021
