"","OCCUPANCY_DATE","LOCATION_ADDRESS","LOCATION_POSTAL_CODE","LOCATION_CITY","LOCATION_PROVINCE","PROGRAM_MODEL","OVERNIGHT_SERVICE_TYPE","PROGRAM_AREA","CAPACITY_TYPE","SECTOR","SERVICE_USER_COUNT","CAPACITY_ACTUAL_BED","CAPACITY_FUNDING_BED","OCCUPIED_BEDS","CAPACITY_ACTUAL_ROOM","CAPACITY_FUNDING_ROOM","OCCUPIED_ROOMS","UNOCCUPIED_BEDS","UNAVAILABLE_BEDS","UNOCCUPIED_ROOMS","UNAVAILABLE_ROOMS","OCCUPANCY_RATE_BEDS","OCCUPANCY_RATE_ROOMS"
"3.249",2021-01-01,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",32,46,47,40,NA,NA,NA,6,1,NA,NA,0.869565217391304,NA
"5.153",2021-01-02,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",19,NA,NA,NA,38,48,36,NA,NA,2,10,NA,0.947368421052632
"5.52",2021-01-03,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",23,NA,NA,NA,44,45,15,NA,NA,29,1,NA,0.340909090909091
"1.248",2021-01-04,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",91,NA,NA,NA,45,48,39,NA,NA,6,3,NA,0.866666666666667
"4.120",2021-01-05,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Families",96,45,49,34,NA,NA,NA,11,4,NA,NA,0.755555555555556,NA
"4.186",2021-01-06,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",67,33,42,16,NA,NA,NA,17,9,NA,NA,0.484848484848485,NA
"1.285",2021-01-07,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",290,NA,NA,NA,34,42,2,NA,NA,32,8,NA,0.0588235294117647
"5.142",2021-01-08,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",32,NA,NA,NA,24,47,8,NA,NA,16,23,NA,0.333333333333333
"1.16",2021-01-09,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",45,NA,NA,NA,23,48,23,NA,NA,0,25,NA,1
"2.189",2021-01-10,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",80,NA,NA,NA,41,48,27,NA,NA,14,7,NA,0.658536585365854
"5.123",2021-01-11,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",75,NA,NA,NA,19,43,3,NA,NA,16,24,NA,0.157894736842105
"2.128",2021-01-12,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",209,NA,NA,NA,18,25,11,NA,NA,7,7,NA,0.611111111111111
"1.298",2021-01-13,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",24,NA,NA,NA,15,48,5,NA,NA,10,33,NA,0.333333333333333
"5.10",2021-01-14,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",38,NA,NA,NA,41,43,32,NA,NA,9,2,NA,0.780487804878049
"5.285",2021-01-15,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",26,NA,NA,NA,17,36,8,NA,NA,9,19,NA,0.470588235294118
"3.77",2021-01-16,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Youth",88,26,39,1,NA,NA,NA,25,13,NA,NA,0.0384615384615385,NA
"4.255",2021-01-17,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Men",6,47,49,27,NA,NA,NA,20,2,NA,NA,0.574468085106383,NA
"4.14",2021-01-18,"1651 Sheppard Ave W","M3M 2X4","Toronto","ON","Transitional","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Women",235,25,50,2,NA,NA,NA,23,25,NA,NA,0.08,NA
"1.44",2021-01-19,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Families",51,NA,NA,NA,42,50,3,NA,NA,39,8,NA,0.0714285714285714
"5.78",2021-01-20,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",36,NA,NA,NA,44,47,29,NA,NA,15,3,NA,0.659090909090909
"3.151",2021-01-21,"850 Bloor St W","M6G 1M2","Toronto","ON","Emergency","Shelter","Base Shelter and Overnight Services System","Bed Based Capacity","Mixed Adult",62,45,49,45,NA,NA,NA,0,4,NA,NA,1,NA
"5.12",2021-01-22,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",83,NA,NA,NA,47,47,39,NA,NA,8,0,NA,0.829787234042553
"1.166",2021-01-23,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",64,NA,NA,NA,42,46,1,NA,NA,41,4,NA,0.0238095238095238
"1.170",2021-01-24,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",90,NA,NA,NA,35,36,33,NA,NA,2,1,NA,0.942857142857143
"1.189",2021-01-25,"445 Rexdale Blvd","M9W 6P8","Etobicoke","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",66,NA,NA,NA,37,37,25,NA,NA,12,0,NA,0.675675675675676
"5.99",2021-01-26,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Mixed Adult",27,NA,NA,NA,41,50,24,NA,NA,17,9,NA,0.585365853658537
"2.234",2021-01-27,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",138,NA,NA,NA,47,48,46,NA,NA,1,1,NA,0.978723404255319
"2.186",2021-01-28,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",277,NA,NA,NA,42,49,8,NA,NA,34,7,NA,0.19047619047619
"2.296",2021-01-29,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Men",55,NA,NA,NA,25,35,6,NA,NA,19,10,NA,0.24
"2.262",2021-01-30,"14 Roncesvalles Ave","M6R 2K3","Toronto","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Youth",6,NA,NA,NA,39,45,21,NA,NA,18,6,NA,0.538461538461538
"5.247",2021-01-31,"3600 Steeles Ave W","L4L 8P5","Vaughan","ON","Emergency","Motel/Hotel Shelter","COVID-19 Response","Room Based Capacity","Women",68,NA,NA,NA,44,50,39,NA,NA,5,6,NA,0.886363636363636
